date,stock_id,Trading_Volume,Trading_money,open,close,spread,Trading_turnover,high,low
2015-10-14,2468,71424,735458,10.35,10.3,-0.05,27.0,10.35,10.25
2015-10-15,2468,39000,403650,10.35,10.35,0.05,19.0,10.35,10.35
2015-10-16,2468,120000,1244550,10.35,10.45,0.1,43.0,10.5,10.35
2015-10-19,2468,95000,991350,10.45,10.45,0.0,42.0,10.5,10.4
2015-10-20,2468,117000,1225700,10.45,10.5,0.05,40.0,10.55,10.4
2015-10-21,2468,331024,3517554,10.55,10.7,0.2,112.0,10.8,10.55
2015-10-22,2468,170982,1822907,10.7,10.75,0.05,64.0,10.8,10.55
2015-10-23,2468,162009,1734395,10.7,10.6,-0.15,64.0,10.9,10.6
2015-10-26,2468,90100,966015,10.75,10.65,0.05,38.0,10.8,10.65
2015-10-27,2468,68032,726391,10.65,10.6,-0.05,35.0,10.85,10.6
2015-10-28,2468,85000,903200,10.65,10.75,0.15,34.0,10.75,10.55
2015-10-29,2468,53000,562100,10.8,10.7,-0.05,27.0,10.8,10.55
2015-10-30,2468,59000,626150,10.6,10.7,0.0,23.0,10.7,10.55
2015-11-02,2468,47000,500700,10.65,10.7,0.0,21.0,10.7,10.6
2015-11-03,2468,47000,503150,10.75,10.7,0.0,25.0,10.75,10.65
2015-11-04,2468,151695,1632556,10.7,10.85,0.15,52.0,10.9,10.7
2015-11-05,2468,159000,1734450,10.95,10.95,0.1,61.0,11.0,10.85
2015-11-06,2468,105000,1130750,10.95,10.75,-0.2,42.0,10.95,10.65
2015-11-09,2468,80000,844650,10.6,10.55,-0.2,34.0,10.65,10.45
2015-11-10,2468,55000,575550,10.45,10.65,0.1,26.0,10.7,10.35
2015-11-11,2468,87000,920450,10.55,10.6,-0.05,22.0,10.65,10.45
2015-11-12,2468,87000,906600,10.5,10.4,-0.2,36.0,10.55,10.35
2015-11-13,2468,80000,832950,10.4,10.5,0.1,24.0,10.55,10.35
2015-11-16,2468,42000,435350,10.4,10.5,0.0,21.0,10.5,10.3
2015-11-17,2468,44000,463000,10.55,10.6,0.1,18.0,10.6,10.5
2015-11-18,2468,78000,818250,10.55,10.5,-0.1,20.0,10.55,10.45
2015-11-19,2468,45000,472100,10.5,10.5,0.0,22.0,10.5,10.4
2015-11-20,2468,35000,365450,10.45,10.5,0.0,20.0,10.55,10.4
2015-11-23,2468,55202,580021,10.5,10.55,0.05,25.0,10.55,10.45
2015-11-24,2468,28000,291750,10.5,10.4,-0.15,12.0,10.5,10.4
2015-11-25,2468,37000,382750,10.4,10.35,-0.05,28.0,10.4,10.25
2015-11-26,2468,20000,207700,10.35,10.4,0.05,9.0,10.4,10.35
2015-11-27,2468,14000,144550,10.35,10.3,-0.1,11.0,10.4,10.3
2015-11-30,2468,26000,264450,10.2,10.15,-0.15,17.0,10.2,10.1
2015-12-01,2468,17122,175282,10.25,10.2,0.05,14.0,10.3,10.2
2015-12-02,2468,25001,255260,10.25,10.2,0.0,13.0,10.25,10.2
2015-12-03,2468,118576,1232804,10.2,10.3,0.1,53.0,10.55,10.2
2015-12-04,2468,26000,266850,10.25,10.35,0.05,21.0,10.4,10.2
2015-12-07,2468,4000,41450,10.35,10.4,0.05,4.0,10.4,10.35
2015-12-08,2468,42000,434250,10.35,10.4,0.0,23.0,10.5,10.25
2015-12-09,2468,102202,1037490,10.35,10.2,-0.2,43.0,10.35,10.1
2015-12-10,2468,73000,735150,10.15,10.1,-0.1,24.0,10.15,10.0
2015-12-11,2468,72000,723000,10.05,10.05,-0.05,36.0,10.1,10.0
2015-12-14,2468,65000,654680,9.99,10.1,0.05,15.0,10.1,9.99
2015-12-15,2468,20000,202750,10.1,10.2,0.1,11.0,10.2,10.1
2015-12-16,2468,14000,142100,10.2,10.2,0.0,10.0,10.2,10.1
2015-12-17,2468,26008,265231,10.2,10.2,0.0,11.0,10.25,10.1
2015-12-18,2468,30000,304250,10.2,10.2,0.0,12.0,10.25,10.1
2015-12-21,2468,27000,275100,10.05,10.2,0.0,9.0,10.2,10.05
2015-12-22,2468,8325,84482,10.1,10.15,-0.05,5.0,10.2,10.1
2015-12-23,2468,21000,213900,10.2,10.2,0.05,10.0,10.2,10.15
2015-12-24,2468,58000,588950,10.15,10.15,-0.05,19.0,10.2,10.15
2015-12-25,2468,80000,817850,10.2,10.35,0.2,26.0,10.35,10.15
2015-12-28,2468,69000,706250,10.3,10.2,-0.15,26.0,10.3,10.2
2015-12-29,2468,16000,163500,10.2,10.2,0.0,11.0,10.35,10.2
2015-12-30,2468,29000,296550,10.2,10.3,0.1,13.0,10.3,10.2
2015-12-31,2468,15000,153400,10.2,10.3,0.0,8.0,10.3,10.2
2016-01-04,2468,50000,511750,10.2,10.3,0.0,17.0,10.3,10.2
2016-01-05,2468,79214,817275,10.3,10.4,0.1,32.0,10.4,10.3
2016-01-06,2468,36000,366750,10.3,10.3,-0.1,11.0,10.35,10.1
2016-01-07,2468,209000,2112250,10.3,10.15,-0.15,49.0,10.3,10.0
2016-01-08,2468,57000,581500,10.2,10.25,0.1,12.0,10.25,10.15
2016-01-11,2468,70000,704950,10.2,10.2,-0.05,21.0,10.2,10.0
2016-01-12,2468,68326,694525,10.25,10.25,0.05,22.0,10.3,10.1
2016-01-13,2468,54005,552851,10.2,10.25,0.0,21.0,10.25,10.15
2016-01-14,2468,77000,779900,10.15,10.1,-0.15,23.0,10.25,10.05
2016-01-15,2468,68000,686100,10.2,10.1,0.0,18.0,10.25,10.05
2016-01-18,2468,13000,131650,10.05,10.1,0.0,8.0,10.2,10.05
2016-01-19,2468,38321,388158,10.15,10.2,0.1,13.0,10.2,10.1
2016-01-20,2468,20000,203500,10.15,10.25,0.05,15.0,10.25,10.15
2016-01-21,2468,3000,30600,10.2,10.2,-0.05,3.0,10.2,10.2
2016-01-22,2468,9000,91900,10.2,10.25,0.05,7.0,10.25,10.15
2016-01-25,2468,23110,235861,10.25,10.2,-0.05,11.0,10.25,10.2
2016-01-26,2468,9000,91900,10.2,10.25,0.05,7.0,10.25,10.2
2016-01-27,2468,10000,101400,10.1,10.1,-0.15,7.0,10.2,10.1
2016-01-28,2468,46000,470900,10.15,10.35,0.25,14.0,10.35,10.15
2016-01-29,2468,57000,583350,10.2,10.25,-0.1,27.0,10.35,10.2
2016-01-30,2468,36000,368050,10.25,10.3,0.05,18.0,10.3,10.2
2016-02-01,2468,49000,499750,10.25,10.15,-0.15,21.0,10.3,10.15
2016-02-02,2468,16000,161800,10.1,10.15,0.0,8.0,10.15,10.1
2016-02-03,2468,62000,629800,10.15,10.1,-0.05,17.0,10.2,10.1
2016-02-15,2468,28010,280708,9.92,10.0,-0.1,19.0,10.15,9.92
2016-02-16,2468,32000,323650,10.1,10.2,0.2,13.0,10.2,10.1
2016-02-17,2468,55000,559350,10.1,10.15,-0.05,24.0,10.35,10.1
2016-02-18,2468,77001,781510,10.15,10.1,-0.05,29.0,10.25,10.1
2016-02-19,2468,23000,234550,10.2,10.25,0.15,14.0,10.25,10.15
2016-02-22,2468,25251,258410,10.25,10.25,0.0,13.0,10.25,10.2
